onset	duration	trial_type	category	manner	phoneme1	phoneme2	place	tms_intensity	tms_target	trial	voicing
238.627	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	1	no
238.677	0	stimulus	n/a	n/a	u	d	n/a	n/a	lip	n/a	n/a
242.607	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	2	no
242.657	0	stimulus	n/a	n/a	a	d	n/a	n/a	lip	n/a	n/a
246.62	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	3	no
246.67	0	stimulus	n/a	n/a	p	u	n/a	n/a	lip	n/a	n/a
250.6235	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	4	no
250.6735	0	stimulus	n/a	n/a	i	t	n/a	n/a	control_lip	n/a	n/a
254.6115	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	5	yes
254.6615	0	stimulus	n/a	n/a	b	o	n/a	n/a	lip	n/a	n/a
258.608	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	6	no
258.658	0	stimulus	n/a	n/a	i	d	n/a	n/a	lip	n/a	n/a
262.6215	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	7	no
262.6715	0	stimulus	n/a	n/a	e	b	n/a	n/a	lip	n/a	n/a
266.6335	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	8	no
266.6835	0	stimulus	n/a	n/a	a	d	n/a	n/a	lip	n/a	n/a
270.6295	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	9	no
270.6795	0	stimulus	n/a	n/a	p	a	n/a	n/a	lip	n/a	n/a
274.627	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	10	no
274.677	0	stimulus	n/a	n/a	e	t	n/a	n/a	control_lip	n/a	n/a
278.622	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	11	yes
278.672	0	stimulus	n/a	n/a	d	a	n/a	n/a	lip	n/a	n/a
282.6345	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	12	yes
282.6845	0	stimulus	n/a	n/a	b	i	n/a	n/a	lip	n/a	n/a
286.6165	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	13	yes
286.6665	0	stimulus	n/a	n/a	b	e	n/a	n/a	lip	n/a	n/a
290.607	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	14	no
290.657	0	stimulus	n/a	n/a	p	u	n/a	n/a	control_lip	n/a	n/a
294.606	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	15	no
294.656	0	stimulus	n/a	n/a	u	t	n/a	n/a	lip	n/a	n/a
298.62	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	16	yes
298.67	0	stimulus	n/a	n/a	d	i	n/a	n/a	lip	n/a	n/a
302.627	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	17	no
302.677	0	stimulus	n/a	n/a	u	t	n/a	n/a	control_lip	n/a	n/a
306.62	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	18	no
306.67	0	stimulus	n/a	n/a	e	b	n/a	n/a	control_lip	n/a	n/a
310.616	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	19	yes
310.666	0	stimulus	n/a	n/a	d	o	n/a	n/a	control_lip	n/a	n/a
314.6215	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	20	no
314.6715	0	stimulus	n/a	n/a	p	u	n/a	n/a	lip	n/a	n/a
318.6215	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	21	no
318.6715	0	stimulus	n/a	n/a	i	d	n/a	n/a	control_lip	n/a	n/a
322.612	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	22	no
322.662	0	stimulus	n/a	n/a	t	e	n/a	n/a	lip	n/a	n/a
326.6285	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	23	yes
326.6785	0	stimulus	n/a	n/a	b	a	n/a	n/a	lip	n/a	n/a
330.6415	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	24	no
330.6915	0	stimulus	n/a	n/a	o	d	n/a	n/a	control_lip	n/a	n/a
334.6335	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	25	yes
334.6835	0	stimulus	n/a	n/a	d	i	n/a	n/a	lip	n/a	n/a
338.613	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	26	yes
338.663	0	stimulus	n/a	n/a	b	u	n/a	n/a	lip	n/a	n/a
342.6085	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	27	no
