field,role,overall_non_null_ratio,present_in_2019,present_in_2021,tasks_with_values
stimulus,trial 标识,1.0,是,是,"Words, phonemes, single-phoneme"
phoneme1,speech unit 标签,1.0,是,是,"Words, phonemes, single-phoneme"
phoneme2,speech unit 标签,0.7707,是,是,"Words, phonemes"
phoneme3,speech unit 标签,0.2524,否,是,Words
category,粗粒度类别,1.0,是,是,"Words, phonemes, single-phoneme"
place,articulatory 标签,0.7476,是,是,"phonemes, single-phoneme"
manner,articulatory 标签,0.6433,是,是,"phonemes, single-phoneme"
voicing,articulatory 标签,0.6433,是,是,"phonemes, single-phoneme"
tmstarget,条件标签,1.0,是,是,"Words, phonemes, single-phoneme"
p1_tsidx,主事件时间点,1.0,是,是,"Words, phonemes, single-phoneme"
p2_tsidx,附加时间点,0.7686,是,是,"Words, phonemes"
p3_tsidx,附加时间点,0.2524,否,是,Words
order,CV/VC 顺序,0.2557,是,否,phonemes
correct_key,行为标签,0.7707,是,是,"Words, phonemes"
