task,field,bids_non_null_ratio,local_non_null_ratio
phonemes,phoneme1,1.0,1.0
phonemes,phoneme2,1.0,1.0
phonemes,phoneme3,0.0,0.0
phonemes,category,1.0,1.0
phonemes,place,1.0,1.0
phonemes,manner,1.0,1.0
phonemes,voicing,1.0,1.0
phonemes,tms_target,1.0,1.0
single-phoneme,phoneme1,1.0,1.0
single-phoneme,phoneme2,0.0,0.0
single-phoneme,phoneme3,0.0,0.0
single-phoneme,category,1.0,1.0
single-phoneme,place,1.0,1.0
single-phoneme,manner,0.5455,0.5455
single-phoneme,voicing,0.5455,0.5455
single-phoneme,tms_target,1.0,1.0
Words,phoneme1,1.0,1.0
Words,phoneme2,1.0,1.0
Words,phoneme3,0.0,1.0
Words,category,1.0,1.0
Words,place,0.0,0.0
Words,manner,0.0,0.0
Words,voicing,0.0,0.0
Words,tms_target,1.0,1.0
