stimulus_base,in_2019,in_2021,status
Ba,1,1,shared
Be,1,1,shared
Bi,1,1,shared
Bo,1,1,shared
Bu,1,1,shared
Da,1,1,shared
De,1,1,shared
Di,1,1,shared
Do,1,1,shared
Du,1,1,shared
Pa,1,1,shared
Pe,1,1,shared
Pi,1,1,shared
Po,1,1,shared
Pu,1,1,shared
Ta,1,1,shared
Te,1,1,shared
Ti,1,1,shared
To,1,1,shared
Tu,1,1,shared
aB,1,0,2019_only
aD,1,0,2019_only
aP,1,0,2019_only
aT,1,0,2019_only
eB,1,0,2019_only
eD,1,0,2019_only
eP,1,0,2019_only
eT,1,0,2019_only
iB,1,0,2019_only
iD,1,0,2019_only
iP,1,0,2019_only
iT,1,0,2019_only
oB,1,0,2019_only
oD,1,0,2019_only
oP,1,0,2019_only
oT,1,0,2019_only
uB,1,0,2019_only
uD,1,0,2019_only
uP,1,0,2019_only
uT,1,0,2019_only
