channel,mean_uV,std_uV,min_uV,max_uV,ptp_uV
AF3,-8510.7109375,841.7598876953125,-58215.1015625,12024.9912109375,70240.09375
AF4,-14223.45703125,813.8525390625,-58215.1015625,20085.474609375,78300.578125
AF7,-2081.136962890625,1010.5634765625,-58215.1015625,4442.41552734375,62657.515625
AF8,445.62701416015625,1305.7867431640625,-58215.1015625,22904.95703125,81120.0625
C1,1389.2435302734375,972.6458129882812,-58215.1015625,25559.212890625,83774.3125
C2,-12302.4560546875,795.4381103515625,-58215.1015625,15739.884765625,73954.984375
C3,-2776.159423828125,1955.221435546875,-58215.1015625,3209.44775390625,61424.55078125
C4,8174.392578125,1355.343994140625,-58215.1015625,24990.697265625,83205.796875
C5,39.62271499633789,1067.7164306640625,-58215.1015625,3300.054931640625,61515.15625
C6,-4019.6279296875,879.428466796875,-58215.1015625,17139.853515625,75354.953125
CP1,1046.39892578125,1036.1993408203125,-58215.1015625,31644.10546875,89859.203125
CP2,-10524.7587890625,811.6583862304688,-58215.1015625,14402.0966796875,72617.1953125
CP3,-4234.88720703125,965.5606079101562,-58215.1015625,17695.93359375,75911.03125
CP4,-10416.2841796875,1083.3275146484375,-58215.1015625,11850.8837890625,70065.984375
CP5,-2108.8046875,982.724609375,-58215.1015625,-805.6930541992188,57409.41015625
CP6,-21628.7265625,1165.9150390625,-58215.1015625,2258.9609375,60474.0625
Cz,-7501.146484375,966.835693359375,-58215.1015625,39256.8828125,97471.984375
F1,-5592.76123046875,1143.267578125,-58215.1015625,811.0228881835938,59026.125
F2,-13561.8525390625,843.1581420898438,-58215.1015625,28874.369140625,87089.46875
F3,-5664.58935546875,852.2816772460938,-58215.1015625,-2083.076416015625,56132.0234375
F4,-6702.873046875,882.5516967773438,-58215.1015625,25246.529296875,83461.6328125
F5,-5048.74853515625,889.2125244140625,-58215.1015625,935.3856811523438,59150.48828125
F6,420.3266906738281,1012.821533203125,-58215.1015625,22382.6328125,80597.734375
F7,1427.8504638671875,1085.8232421875,-58215.1015625,7375.6005859375,65590.703125
F8,-1266.94140625,947.0926513671875,-58215.1015625,20732.162109375,78947.265625
FC1,6584.7001953125,2146.64892578125,-58215.1015625,11936.1611328125,70151.265625
FC2,-8224.8896484375,887.5238037109375,-58215.1015625,18561.142578125,76776.2421875
FC3,2093.39111328125,1559.2760009765625,-58215.1015625,6647.18994140625,64862.29296875
FC4,-3677.24267578125,900.1826782226562,-58215.1015625,20272.01953125,78487.125
FC5,4729.06787109375,1109.1590576171875,-58215.1015625,7491.080078125,65706.1796875
FC6,967.033203125,1007.9170532226562,-58215.1015625,21680.87109375,79895.96875
FCz,-16023.634765625,778.50146484375,-58215.1015625,11150.8984375,69366.0
FT7,3679.945556640625,1309.359375,-58215.1015625,7972.54150390625,66187.640625
FT8,1793.6697998046875,1232.511962890625,-58215.1015625,22355.984375,80571.0859375
Fp1,1078.159423828125,1332.736572265625,-58215.1015625,6158.6220703125,64373.72265625
Fp2,-3187.9892578125,957.340576171875,-58215.1015625,23105.71484375,81320.8125
Fpz,2551.266357421875,1158.7093505859375,-58215.1015625,6235.01611328125,64450.1171875
Fz,-16123.2451171875,892.048583984375,-58215.1015625,43812.11328125,102027.21875
O1,3943.552978515625,1243.001220703125,-58215.1015625,15725.671875,73940.7734375
O2,-4482.7451171875,1435.4656982421875,-58215.1015625,8040.052734375,66255.15625
Oz,-2877.643798828125,1181.40966796875,-58215.1015625,8754.2509765625,66969.3515625
P1,-1440.8309326171875,1623.43994140625,-58215.1015625,26548.78515625,84763.890625
P2,2332.087890625,1090.0611572265625,-58215.1015625,17942.8828125,76157.984375
P3,-19866.673828125,752.3630981445312,-58215.1015625,1992.46923828125,60207.5703125
P4,-3854.23046875,883.1892700195312,-58215.1015625,13567.08984375,71782.1875
P5,-2827.556884765625,989.2276000976562,-58215.1015625,-1734.860595703125,56480.2421875
P6,857.5348510742188,974.7985229492188,-58215.1015625,15604.8623046875,73819.9609375
P7,-10325.63671875,884.6830444335938,-58215.1015625,-8178.62841796875,50036.47265625
P8,-4181.08203125,933.4232177734375,-58215.1015625,13909.9755859375,72125.078125
PO3,-11722.923828125,843.1043090820312,-58215.1015625,3429.74755859375,61644.84765625
PO4,-6126.71044921875,1043.4293212890625,-58215.1015625,8844.857421875,67059.9609375
PO5,6764.64990234375,1546.725341796875,-58215.1015625,14336.3623046875,72551.4609375
PO6,-7111.5087890625,1588.1683349609375,-58215.1015625,7741.58251953125,65956.6875
PO7,7239.185546875,1625.1689453125,-58215.1015625,9640.779296875,67855.8828125
PO8,-364.5574951171875,1184.0758056640625,-58215.1015625,14819.6005859375,73034.703125
POz,-8863.6474609375,840.6370239257812,-58215.1015625,6513.9443359375,64729.046875
Pz,-4560.748046875,910.3914794921875,-58215.1015625,4680.4814453125,62895.58203125
T7,2651.852783203125,1052.0133056640625,-58215.1015625,3925.421875,62140.5234375
T8,-3775.0126953125,1037.123779296875,-58215.1015625,18435.00390625,76650.109375
TP7,24.733367919921875,1037.877197265625,-58215.1015625,1560.752685546875,59775.85546875
TP8,-791.95458984375,935.1718139648438,-58215.1015625,16654.83984375,74869.9375
