channel,mean_uV,std_uV,min_uV,max_uV,ptp_uV
AF3,0.021932588695226785,0.0026232407351529075,-0.08655553643316326,0.08399577357571926,0.17055131000888252
AF4,0.0119884692530665,0.005829509291356745,-0.08599623910779192,0.02280643308588451,0.10880267219367643
AF7,0.017502903241629772,0.007983311586507108,-0.08599519001026079,0.030252785241095245,0.11624797525135604
AF8,0.032128529560491254,0.015640696778432803,-0.08587317164434997,0.048375905251930015,0.13424907689628
BIP10,-0.008074180109533658,0.0011727977085949147,-0.08579364195235914,-0.007694129965625184,0.07809951198673395
BIP11,-0.00824650415535249,0.0011700436861566037,-0.08578911853946124,-0.007859529891759923,0.07792958864770132
BIP12,-0.005734986081666799,0.001209986162511505,-0.08585328484931416,-0.005433178115591728,0.08042010673372244
BIP13,-0.006590008450828337,0.0011958503354962562,-0.08583098282407181,-0.006296841648399621,0.07953414117567219
BIP14,-0.006751513652672662,0.0011932469500665972,-0.0858269950615592,-0.006466131676455376,0.07936086338510383
BIP15,-0.006225791959843539,0.0012013060935146735,-0.08584036584422389,-0.005916514628366243,0.07992385121585764
BIP16,-0.010870202888959575,0.0011290399210554917,-0.08572307825888437,-0.010320728221021584,0.07540235003786278
BIP17,-0.005784542863551533,0.0012102609918238818,-0.08584879560682171,-0.005303577427785208,0.0805452181790365
BIP18,-0.008369969122206021,0.0011681958575614911,-0.08578567238368698,-0.008014052076414901,0.07777162030727208
BIP19,-0.008399050811245546,0.0011676845081811191,-0.0857850205604157,-0.008013260492675143,0.07777176006774056
BIP20,-0.005033476807812796,0.0012222330129424057,-0.08587023808731808,-0.004690851603516348,0.08117938648380174
BIP21,-0.006626462033916748,0.0011954074638328978,-0.08582999203391116,-0.006304899543217008,0.07952509249069416
BIP22,-0.0065543240748142445,0.0011966001505374052,-0.08583133509269969,-0.006243085383499211,0.07958824970920048
BIP23,-0.006389131251605483,0.0011990437224959462,-0.08583596854835873,-0.006041347942303337,0.0797946206060554
BIP24,-0.008792674678823817,0.0011622862220655983,-0.08577542636287452,-0.008238334282765221,0.07753709208010931
BIP3,-0.008527599640045732,0.0011645021391668757,-0.08578275550327255,-0.007981441832210754,0.0778013136710618
BIP4,-0.005669983611227769,0.0012459906298076314,-0.08585992462134993,-0.005223248939380739,0.0806366756819692
BIP5,-0.0068165714004527755,0.001195353441428643,-0.08582883793588846,-0.0063728552444994,0.07945598269138905
BIP6,-0.007455184191470549,0.0015267459446463355,-0.0858273551854313,-0.0064455596559501675,0.07938179552948113
BIP7,-0.006785571706366552,0.0011961066690944803,-0.08582943662658166,-0.006332380291764407,0.07949705633481725
BIP8,-0.010214381754616432,0.0011385982743564982,-0.08574014928584539,-0.009640451210034545,0.07609969807581085
BIP9,-0.004651377620740676,0.0012273017067649058,-0.08587933379168361,-0.004123222913640889,0.08175611087804271
C1,0.01192574256628822,0.007033187848126556,-0.08590980769423075,0.022838470204751212,0.10874827789898196
C2,0.01760935643199214,0.009963720324896558,-0.08586635566641662,0.03166464296063962,0.11753099862705624
C3,0.007352464287805365,0.0054270803235527834,-0.08590884717939551,0.08413460543527451,0.17004345261467002
C4,0.006996653688678108,0.008802506006027186,-0.08564180574069051,0.08542168626978584,0.17106349201047635
