channel,mean_uV,std_uV,min_uV,max_uV,ptp_uV
AF3,0.0021605701912584515,0.0016791250082300432,-0.08685164237767232,0.00871060414252917,0.09556224652020148
AF4,-0.013012360940897435,0.0020731991941142875,-0.08637840057803606,-0.0015969640704578333,0.08478143650757822
AF7,-0.006888352499395207,0.0013613405217923816,-0.08653742485414045,-0.0011785456064703505,0.0853588792476701
AF8,-0.011612382730934857,0.0019481495632683002,-0.0864161434644147,-0.004926215346434713,0.08148992811797999
C1,0.003145041411141762,0.0014316530818323854,-0.08689680878395625,0.019864794094383045,0.1067616028783393
C2,0.006378984250785314,0.0008938784904421854,-0.08694900331749833,0.011717038236305616,0.09866604155380394
C3,0.007791482831464523,0.002058128349388762,-0.0870506021101661,0.014861919320648703,0.1019125214308148
C4,0.0050009664081714575,0.001040213757772205,-0.08691653010226191,0.010682836155463754,0.09759936625772567
C5,0.005996082646576451,0.0016836245302904549,-0.0869907168845096,0.013006591697058412,0.09999730858156801
C6,0.0046345400725442375,0.002698309968795628,-0.0869829450998818,0.012745519473638781,0.09972846457352058
CP1,0.008599398907311775,0.0013185373943432812,-0.08708845309696568,0.016074721051621686,0.10316317414858736
CP2,-0.003636763450840751,0.0008559612913452042,-0.08661561586169761,0.0013086727995872338,0.08792428866128485
CP3,0.008727734016299176,0.001171794900723362,-0.08706209419534193,0.015241553926124429,0.10230364812146636
CP4,0.00045306508054640196,0.000722913577283704,-0.08674162153227266,0.005231134295467352,0.09197275582774002
CP5,0.006528312201704182,0.0014183515526564527,-0.08698864730431949,0.012945940205357344,0.09993458750967683
CP6,0.00027272231408499655,0.0017573467762167232,-0.08679539081004697,0.006906725086273086,0.09370211589632006
Cz,-0.007991715283443583,0.0010174423285341848,-0.08643264567565528,0.03118097522456115,0.11761362090021643
F1,0.007314792380965778,0.0015665138120601752,-0.08702437379815386,0.0140669634564537,0.10109133725460756
F2,-0.00032656299452532274,0.001498401304970961,-0.0867619826315433,0.005863949060267531,0.09262593169181084
F3,0.002278235016111043,0.0011786104135667844,-0.08683503803429586,0.008135368119490614,0.09497040615378648
F4,0.009191924777015506,0.001251875053155845,-0.08706471437662337,0.015307987896644136,0.1023727022732675
F5,0.0035641217639630412,0.001167164880303883,-0.08687922312306476,0.009502737008695614,0.09638196013176037
F6,0.003945736992455777,0.0012682826966109772,-0.08689523222816489,0.010010295535912258,0.09690552776407715
F7,0.004039875376380377,0.0013396382477601052,-0.08690874930361764,0.010439482674210824,0.09734823197782846
F8,0.0029198950212657388,0.001582690177977474,-0.08687917626786652,0.009503031488845105,0.09638220775671164
FC1,0.0051738712976470555,0.0013908540399299235,-0.08694804326639108,0.011679035864152459,0.09862707913054354
FC2,-0.0031852486839857534,0.0013803391632153804,-0.08664929668490537,0.027906676142291184,0.11455597282719655
FC3,0.0029387791792356392,0.0007858994928799648,-0.08684315662565269,0.00840126036718297,0.09524441699283566
FC4,0.009755940018679358,0.0009398218004612039,-0.0870680799226583,0.015423460244116054,0.10249154016677436
FC5,0.002582379939183869,0.0014060237148392214,-0.08684730494293244,0.008496357850656132,0.09534366279358858
