field,missing_count,missing_ratio
p3_tsidx,10937,0.7475734791524266
phoneme3,10937,0.7475734791524266
order,10889,0.7442925495557075
manner,5218,0.35666438824333563
voicing,5218,0.35666438824333563
place,3693,0.2524265208475735
p2_tsidx,3386,0.23144224196855775
correct_key,3355,0.22932330827067668
phoneme2,3355,0.22932330827067668
category,0,0.0
p1_tsidx,0,0.0
phoneme1,0,0.0
session_id,0,0.0
source_file,0,0.0
stimulus,0,0.0
study_year,0,0.0
subject_id,0,0.0
task,0,0.0
tms,0,0.0
tms_tsidx,0,0.0
tmstarget,0,0.0
trialn,0,0.0
